 time,x,y
7.3,2654.18773,3549.290761
7.4,2686.906353,3589.539391
7.5,2719.533364,3629.577325
7.6,2752.06902,3669.405152
7.7,2784.513576,3709.023462
7.8,2816.867287,3748.43284
7.9,2849.130407,3787.633872
8,2881.303191,3826.627141
8.1,2913.385891,3865.413229
8.2,2945.37876,3903.992716
8.3,2977.282048,3942.366181
8.4,3009.096008,3980.5342
8.5,3040.820888,4018.497348
8.6,3072.456938,4056.256199
8.7,3104.004408,4093.811326
8.8,3135.463545,4131.163298
8.9,3166.834596,4168.312685
9,3198.117808,4205.260053
9.1,3229.313427,4242.005969
9.2,3260.421698,4278.550997
9.3,3291.442867,4314.895698
9.4,3322.377176,4351.040634
9.5,3353.224869,4386.986364
9.6,3383.986188,4422.733446
9.7,3414.661376,4458.282437
9.8,3445.250673,4493.63389
9.9,3475.75432,4528.788359
10,3506.172557,4563.746395
10.1,3536.505623,4598.50855
10.2,3566.753756,4633.07537
10.3,3596.917194,4667.447402
10.4,3626.996175,4701.625194
10.5,3656.990935,4735.609287
10.6,3686.901709,4769.400225
10.7,3716.728734,4802.998548
10.8,3746.472242,4836.404797
10.9,3776.132469,4869.619507
11,3805.709647,4902.643216
11.1,3835.204009,4935.476459
11.2,3864.615787,4968.119769
11.3,3893.945212,5000.573678
11.4,3923.192514,5032.838715
11.5,3952.357924,5064.915411
11.6,3981.441671,5096.804292
11.7,4010.443983,5128.505884
11.8,4039.365089,5160.020711
11.9,4068.205216,5191.349297
12,4096.96459,5222.492163
12.1,4125.643438,5253.449829
12.2,4154.241986,5284.222813
12.3,4182.760457,5314.811633
12.4,4211.199077,5345.216805
12.5,4239.558069,5375.438842
12.6,4267.837655,5405.478257
12.7,4296.038059,5435.335562
12.8,4324.159501,5465.011266
12.9,4352.202203,5494.505878
13,4380.166386,5523.819906
13.1,4408.052269,5552.953854
13.2,4435.860072,5581.908227
13.3,4463.590013,5610.683528
13.4,4491.24231,5639.280258
13.5,4518.81718,5667.698917
13.6,4546.314841,5695.940004
13.7,4573.735509,5724.004016
13.8,4601.079398,5751.891449
13.9,4628.346725,5779.602797
14,4655.537703,5807.138553
14.1,4682.652547,5834.499209
14.2,4709.691469,5861.685255
14.3,4736.654681,5888.69718
14.4,4763.542397,5915.535472
14.5,4790.354828,5942.200616
14.6,4817.092183,5968.693099
14.7,4843.754674,5995.013402
14.8,4870.34251,6021.162008
14.9,4896.8559,6047.139398
15,4923.295052,6072.946052
15.1,4949.660175,6098.582447
15.2,4975.951476,6124.04906
15.3,5002.169161,6149.346367
15.4,5028.313436,6174.474841
15.5,5054.384507,6199.434955
15.6,5080.38258,6224.227181
15.7,5106.307858,6248.851989
15.8,5132.160545,6273.309847
15.9,5157.940844,6297.601223
16,5183.648959,6321.726584
16.1,5209.285091,6345.686393
16.2,5234.849441,6369.481115
16.3,5260.342212,6393.111212
16.4,5285.763603,6416.577144
16.5,5311.113814,6439.879372
16.6,5336.393044,6463.018354
16.7,5361.601493,6485.994546
16.8,5386.739357,6508.808405
16.9,5411.806836,6531.460386
17,5436.804126,6553.950941
17.1,5461.731424,6576.280522
17.2,5486.588925,6598.44958
17.3,5511.376825,6620.458565
17.4,5536.095319,6642.307925
17.5,5560.744601,6663.998107
17.6,5585.324865,6685.529556
17.7,5609.836304,6706.902717
17.8,5634.279112,6728.118033
17.9,5658.653479,6749.175946
18,5682.959598,6770.076898
18.1,5707.19766,6790.821326
18.2,5731.367856,6811.40967
18.3,5755.470375,6831.842367
18.4,5779.505407,6852.119852
18.5,5803.473141,6872.24256
18.6,5827.373765,6892.210925
18.7,5851.207468,6912.025378
18.8,5874.974436,6931.686351
18.9,5898.674856,6951.194273
19,5922.308916,6970.549573
19.1,5945.8768,6989.752678
19.2,5969.378694,7008.804014
19.3,5992.814782,7027.704007
19.4,6016.18525,7046.453079
19.5,6039.49028,7065.051655
19.6,6062.730057,7083.500154
19.7,6085.904761,7101.798997
19.8,6109.014577,7119.948604
19.9,6132.059685,7137.949391
20,6155.040267,7155.801777
20.1,6177.956503,7173.506176
20.2,6200.808574,7191.063002
20.3,6223.596659,7208.47267
20.4,6246.320938,7225.73559
20.5,6268.981588,7242.852174
20.6,6291.578789,7259.822832
20.7,6314.112717,7276.647972
20.8,6336.58355,7293.328001
20.9,6358.991465,7309.863326
21,6381.336638,7326.254353
21.1,6403.619245,7342.501484
21.2,6425.83946,7358.605124
21.3,6447.997458,7374.565674
21.4,6470.093415,7390.383533
21.5,6492.127502,7406.059103
21.6,6514.099894,7421.592782
21.7,6536.010763,7436.984966
21.8,6557.860282,7452.236051
21.9,6579.648622,7467.346434
22,6601.375955,7482.316508
22.1,6623.042452,7497.146665
22.2,6644.648282,7511.837299
22.3,6666.193616,7526.388798
22.4,6687.678622,7540.801553
22.5,6709.103471,7555.075952
22.6,6730.468331,7569.212383
22.7,6751.773368,7583.211233
22.8,6773.018752,7597.072885
22.9,6794.204648,7610.797724
23,6815.331224,7624.386135
23.1,6836.398646,7637.838497
23.2,6857.407079,7651.155193
23.3,6878.356688,7664.336602
23.4,6899.247638,7677.383103
23.5,6920.080094,7690.295075
23.6,6940.854219,7703.072892
23.7,6961.570176,7715.716932
23.8,6982.228128,7728.227568
23.9,7002.828239,7740.605175
24,7023.370669,7752.850124
24.1,7043.85558,7764.962787
24.2,7064.283133,7776.943535
24.3,7084.653489,7788.792737
24.4,7104.966809,7800.510761
24.5,7125.223251,7812.097974
24.6,7145.422974,7823.554744
24.7,7165.566139,7834.881434
24.8,7185.652903,7846.07841
24.9,7205.683424,7857.146034
25,7225.657859,7868.084669
25.1,7245.576366,7878.894676
25.2,7265.439101,7889.576414
25.3,7285.246221,7900.130244
25.4,7304.997881,7910.556523
25.5,7324.694236,7920.855608
25.6,7344.335441,7931.027856
25.7,7363.92165,7941.073622
25.8,7383.453019,7950.993259
25.9,7402.929699,7960.787122
26,7422.351845,7970.455562
26.1,7441.719609,7979.99893
26.2,7461.033143,7989.417577
26.3,7480.292599,7998.711851
26.4,7499.498129,8007.882102
26.5,7518.649883,8016.928675
26.6,7537.748013,8025.851919
26.7,7556.792667,8034.652177
26.8,7575.783997,8043.329795
26.9,7594.722151,8051.885115
27,7613.607278,8060.31848
27.1,7632.439526,8068.630232
27.2,7651.219045,8076.820711
27.3,7669.94598,8084.890257
27.4,7688.620481,8092.839208
27.5,7707.242692,8100.667901
27.6,7725.812762,8108.376675
27.7,7744.330835,8115.965864
27.8,7762.797058,8123.435803
27.9,7781.211575,8130.786827
28,7799.574532,8138.019267
28.1,7817.886072,8145.133457
28.2,7836.14634,8152.129727
28.3,7854.355479,8159.008407
28.4,7872.513633,8165.769827
28.5,7890.620944,8172.414315
28.6,7908.677554,8178.942199
28.7,7926.683606,8185.353804
28.8,7944.639241,8191.649457
28.9,7962.5446,8197.829483
29,7980.399824,8203.894204
29.1,7998.205054,8209.843943
29.2,8015.960428,8215.679024
29.3,8033.666088,8221.399766
29.4,8051.322172,8227.006491
29.5,8068.928819,8232.499516
29.6,8086.486168,8237.879161
29.7,8103.994355,8243.145743
29.8,8121.45352,8248.299579
29.9,8138.863799,8253.340983
30,8156.22533,8258.270272
30.1,8173.538248,8263.087759
30.2,8190.80269,8267.793757
30.3,8208.018791,8272.388578
30.4,8225.186687,8276.872534
30.5,8242.306514,8281.245934
30.6,8259.378405,8285.509089
30.7,8276.402494,8289.662307
30.8,8293.378916,8293.705896
30.9,8310.307804,8297.640163
31,8327.189291,8301.465414
31.1,8344.02351,8305.181955
31.2,8360.810593,8308.790089
31.3,8377.550673,8312.29012
31.4,8394.24388,8315.682352
31.5,8410.890346,8318.967085
31.6,8427.490202,8322.14462
31.7,8444.043579,8325.215259
31.8,8460.550606,8328.1793
31.9,8477.011413,8331.037041
32,8493.42613,8333.788781
32.1,8509.794886,8336.434816
32.2,8526.117809,8338.975442
32.3,8542.395028,8341.410954
32.4,8558.626671,8343.741647
32.5,8574.812866,8345.967814
32.6,8590.953739,8348.089748
32.7,8607.049417,8350.10774
32.8,8623.100028,8352.022082
32.9,8639.105697,8353.833064
33,8655.06655,8355.540975
33.1,8670.982712,8357.146104
33.2,8686.85431,8358.648738
33.3,8702.681467,8360.049165
33.4,8718.464308,8361.347671
33.5,8734.202957,8362.544541
33.6,8749.897537,8363.64006
33.7,8765.548173,8364.634511
33.8,8781.154987,8365.528178
33.9,8796.718102,8366.321343
34,8812.237641,8367.014287
34.1,8827.713724,8367.60729
34.2,8843.146475,8368.100633
34.3,8858.536014,8368.494595
34.4,8873.882462,8368.789454
34.5,8889.18594,8368.985487
34.6,8904.446569,8369.082971
34.7,8919.664467,8369.082182
34.8,8934.839756,8368.983395
34.9,8949.972553,8368.786885
35,8965.062979,8368.492926
35.1,8980.111152,8368.101789
35.2,8995.11719,8367.613747
35.3,9010.081211,8367.029072
35.4,9025.003332,8366.348035
