AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,0,,,121984,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,2,Export,IND,699,b'India',2015
,,,,0,,,247637,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,IND,699,b'India',2015
,,,,0,,,35525,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,IND,699,b'India',2015
,,,,0,,490.0,99726,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,CUB,,192,,b'Cuba',,,,5,Number of items,2,Export,SGP,702,b'Singapore',2015
,,,,0,13893.0,0.0,5639365,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,SGP,702,b'Singapore',2015
,,,,0,18933.0,0.0,14725164,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,2,Export,SGP,702,b'Singapore',2015
,,,,0,1361.0,0.0,569823,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,SGP,702,b'Singapore',2015
,,,,0,1508.0,0.0,887750,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,SGP,702,b'Singapore',2015
,,,,0,6.0,,4883,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CYP,,196,,b'Cyprus',,,,1,No Quantity,2,Export,SVK,703,b'Slovakia',2015
,,,,0,18556.0,,6314603,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,SVK,703,b'Slovakia',2015
,,,,0,63166.0,,8111105,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,2,Export,SVK,703,b'Slovakia',2015
,,,,0,1.0,,42,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,BEN,,204,,b'Benin',,,,1,No Quantity,2,Export,SVK,703,b'Slovakia',2015
,,,,0,1083.0,,155016,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,SVK,703,b'Slovakia',2015
,,,,0,104775.0,,1355748,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,SVK,703,b'Slovakia',2015
,,,,0,,,39779,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,VNM,704,b'Viet Nam',2015
,,,,0,,,297,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,VNM,704,b'Viet Nam',2015
,,,,0,322.0,,354964,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,SVN,705,b'Slovenia',2015
,,,,0,219.0,,80576,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,2,Export,SVN,705,b'Slovenia',2015
,,,,0,49.0,,31245,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,SVN,705,b'Slovenia',2015
,,,,0,81.0,,27433,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,SVN,705,b'Slovenia',2015
,,,,0,3234222.0,0.0,392859,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,ZAF,710,b'South Africa',2015
,,,,0,143443.0,0.0,33622,4,8542,Electronic integrated circuits,,,2,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,2,Export,ZAF,710,b'South Africa',2015
,,,,0,94997.0,0.0,169120,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,ZAF,710,b'South Africa',2015
,,,,0,15105.0,0.0,21571,4,8542,Electronic integrated circuits,,,2,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,ZAF,710,b'South Africa',2015
,,,,0,1.0,,339,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,ZWE,716,b'Zimbabwe',2015
,,,,0,5.0,,3415,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CUB,,192,,b'Cuba',,,,1,No Quantity,1,Import,ESP,724,b'Spain',2015
,,,,0,16951.0,,1276782,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CUB,,192,,b'Cuba',,,,1,No Quantity,2,Export,ESP,724,b'Spain',2015
,,,,0,2607.0,,62085,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CYP,,196,,b'Cyprus',,,,1,No Quantity,1,Import,ESP,724,b'Spain',2015
