time,theta,omega
6.099999999999986,0.09441894556498243,-0.08254958839735074
6.149999999999986,0.08797820197877282,-0.12881487172419215
6.199999999999986,0.07938199244408328,-0.17192419069379083
6.249999999999986,0.0688409240945137,-0.21082136699139165
6.299999999999986,0.05661325310462853,-0.24455341979770337
6.349999999999985,0.042998557413679965,-0.27229391381897133
6.399999999999985,0.02833039706609624,-0.2933632069516745
6.449999999999985,0.012968141990393157,-0.30724510151406165
6.499999999999985,-0.0027118325640745605,-0.3135994910893543
6.549999999999985,-0.01832536722072245,-0.3122706931329578
6.5999999999999845,-0.03348993038046264,-0.3032912631948038
6.649999999999984,-0.0478339902458815,-0.28688119730837713
6.699999999999984,-0.061006117350276265,-0.2634425420878952
6.749999999999984,-0.07268359457958926,-0.23354954458625982
6.799999999999984,-0.08258032374170231,-0.19793458324226107
6.849999999999984,-0.09045383497214365,-0.15747022460882693
6.8999999999999835,-0.09611122724576748,-0.11314784547247653
6.949999999999983,-0.09941389445187,-0.06605334412205045
6.999999999999983,-0.10028092124390171,-0.01734053584063415
7.049999999999983,-0.09869106546545783,0.031797115568877696
7.099999999999983,-0.09468327858311024,0.08015573764695204
7.149999999999983,-0.08835575137547644,0.12655054415267605
7.199999999999982,-0.07986350825914346,0.16984486232665952
7.249999999999982,-0.06941460919046147,0.20897798137363982
7.299999999999982,-0.05726505219661317,0.24299113987696594
7.349999999999982,-0.04371250142394785,0.2710510154533064
7.399999999999982,-0.029088994366395806,0.29247014115104086
7.4499999999999815,-0.013752806946867065,0.3067237483905748
7.499999999999981,0.001920324242859919,0.31346262379453965
7.549999999999981,0.017546407488636832,0.3125216649155383
7.599999999999981,0.032742603750942144,0.30392392524610623
7.649999999999981,0.047136606221349374,0.2878800494081446
7.699999999999981,0.06037576183933355,0.2647831123596834
7.7499999999999805,0.07213571129225405,0.23519898905840994
7.79999999999998,0.08212833581851432,0.19985249052520546
7.84999999999998,0.09010881611722099,0.15960960597413343
7.89999999999998,0.09588163042105574,0.11545628607669514
7.94999999999998,0.09930534477957463,0.06847428717037782
7.99999999999998,0.10029607819099394,0.01981466822838624
8.04999999999998,0.0988295576867339,-0.029330410085200792
8.09999999999998,0.09494171301914889,-0.07775689335170041
8.14999999999998,0.08872779638259472,-0.12427833273108338
8.199999999999982,0.08034004873466698,-0.1677549529585548
8.249999999999982,0.06998396989273989,-0.20712157683854163
8.299999999999983,0.057913283788440684,-0.24141372208598416
8.349999999999984,0.04442372223132468,-0.2697912311423201
8.399999999999984,0.029845779479541222,-0.2915588550356692
8.449999999999985,0.014536615130509002,-0.3061832869806444
8.499999999999986,-0.001128696289220691,-0.3133062283945938
8.549999999999986,-0.016766354649864475,-0.31275316721287566
8.599999999999987,-0.03199323732158658,-0.30453765343444206
8.649999999999988,-0.04643628567892981,-0.28886096714686466
8.699999999999989,-0.05974164503713926,-0.266107187164189
8.74999999999999,-0.0715833340919388,-0.2368337810959908
8.79999999999999,-0.08167123146148585,-0.20175794739094077
8.84999999999999,-0.08975818366022648,-0.1617390439748127
8.899999999999991,-0.09564606035929156,-0.11775753398130173
8.949999999999992,-0.099190608579554,-0.07089096440524886
8.999999999999993,-0.10030498688961736,-0.0222875662012674
9.049999999999994,-0.09896189302088511,0.026861877374645113
9.099999999999994,-0.09519423277314117,0.07535320495487882
9.149999999999995,-0.08909431382245526,0.12199837901371799
9.199999999999996,-0.0808115841831192,0.16565459278672107
9.249999999999996,-0.07054897073129673,0.2052522690364495
9.299999999999997,-0.05855790749655749,0.2398212646947849
9.349999999999998,-0.04513217552815259,0.26851463936809805
9.399999999999999,-0.03060070525930795,0.2906294053768928
9.45,-0.015319517711610262,0.3056237509539537
9.5,0.0003369980200218746,0.31313031463264274
9.55,0.015985257300163477,0.31296518560283204
9.600000000000001,0.031241877776451075,0.30513240952575194
9.650000000000002,0.04573307224721562,0.2898238894152909
9.700000000000003,0.05910380644792339,0.26741468401415525
9.750000000000004,0.07102649739065703,0.2384538188546728
9.800000000000004,0.08120903914731957,0.20365083513325083
9.850000000000005,0.08940195944487278,0.16385840595106424
9.900000000000006,0.09540453173602662,0.12005144582307657
9.950000000000006,0.0990696929996478,0.07330322527242353
10.000000000000007,0.1003076467847776,0.024759075702596105
10.050000000000008,0.09908806322368036,-0.024391671221944924
10.100000000000009,0.09544082211360294,-0.0729448222015483
10.15000000000001,0.08945528086174226,-0.11971082503721375
10.20000000000001,0.08127808522876889,-0.16354391265946747
10.25000000000001,0.07110957650769067,-0.20337017442156424
10.300000000000011,0.05919888316217404,-0.2382138669103327
10.350000000000012,0.04583781717918414,-0.26722131965979795
